region,view,path_number,Hemisphere,Num_Hemi
caudate,lateral,0,L,1
putamen,lateral,1,L,1
thalamus,lateral,2,L,1
hippocampus,lateral,3,L,1
amygdala,lateral,4,L,1
putamen,medial,5,L,1
caudate,medial,6,L,1
accumbens,medial,7,L,1
pallidum,medial,8,L,1
thalamus,medial,9,L,1
amygdala,medial,10,L,1
hippocampus,medial,11,L,1
caudate,lateral,0,R,1
putamen,lateral,1,R,1
thalamus,lateral,2,R,1
hippocampus,lateral,3,R,1
amygdala,lateral,4,R,1
putamen,medial,5,R,1
caudate,medial,6,R,1
accumbens,medial,7,R,1
pallidum,medial,8,R,1
thalamus,medial,9,R,1
amygdala,medial,10,R,1
hippocampus,medial,11,R,1
caudate,lateral,0,L,2
putamen,lateral,1,L,2
thalamus,lateral,2,L,2
hippocampus,lateral,3,L,2
amygdala,lateral,4,L,2
putamen,medial,5,L,2
caudate,medial,6,L,2
accumbens,medial,7,L,2
pallidum,medial,8,L,2
thalamus,medial,9,L,2
amygdala,medial,10,L,2
hippocampus,medial,11,L,2
caudate,lateral,12,R,2
putamen,lateral,13,R,2
thalamus,lateral,14,R,2
hippocampus,lateral,15,R,2
amygdala,lateral,16,R,2
putamen,medial,17,R,2
caudate,medial,18,R,2
accumbens,medial,19,R,2
pallidum,medial,20,R,2
thalamus,medial,21,R,2
amygdala,medial,22,R,2
hippocampus,medial,23,R,2